Agente,Llamadas contestadas,Llamadas perdidas,Llamadas rechazadas,Llamadas derivadas,Tiempo hablado,Fecha llamada
Johnathan Rodriguez,68,14,5,26,0:05:07,2023-05-11
Rebecca Campbell,75,48,11,4,0:42:57,2023-05-17
Gabriel Morgan,33,37,6,14,2:33:59,2023-05-20
Cynthia Torres,81,7,5,24,0:54:19,2023-05-11
Paula Goodman,11,12,6,21,3:58:30,2023-05-09
Christopher Nielsen,93,23,20,28,1:30:05,2023-05-26
Sabrina Jimenez,78,44,7,0,0:07:53,2023-06-03
Savannah Thomas,97,20,3,28,2:35:32,2023-06-02
Eddie Joseph,65,48,1,4,0:24:45,2023-05-26
Stephanie Skinner,48,20,8,27,3:25:39,2023-06-02
Mrs. Anna Murphy,81,50,10,22,2:11:06,2023-05-16
